1964,0.1
1969,0.2
1980,0.1
1982,0.3
1984,0
1985,0.6
1986,0.7
1987,1.8
1988,3.5
1989,2.3
1990,8
1991,9.3
1992,13.1
1993,19.6
1994,17.4
1995,19.1
1996,17.9
1997,15.1
1998,18.6
1999,10.7
2000,12
2001,14.3
2002,19.5
2003,20.2
2004,27.1
2005,22.3
2006,19.3
2007,19.4
2008,18.6
2009,16.7
2010,17.9
2011,17.6
2012,21.1
2013,21.9
2014,16.3
2015,23.4
